,pred_0,targ_0
0,-1021.5358633327013,-1020.0821533203125
1,-986.2146986237193,-987.6153564453125
2,-1040.0930873986954,-1043.995849609375
3,-981.8116700041777,-979.3907470703125
4,-1012.6599713212778,-1015.2072143554688
5,-1010.175679891916,-1012.5859375
6,-1008.1106027820048,-1008.4286499023438
7,-995.0969108482324,-989.8055419921875
8,-1015.1486234650381,-1013.0880737304688
9,-1006.6919159678754,-1008.2963256835938
10,-1021.5700378394507,-1023.57373046875
11,-1003.7989984096187,-1006.2115478515625
12,-1017.7592417007531,-1018.2159423828125
13,-1011.7049584226395,-1011.353759765625
14,-1002.7528587696414,-1005.0992431640625
15,-1020.3466559768617,-1024.0478515625
16,-968.3628829873765,-966.7067260742188
17,-1009.8006672538005,-1009.4600830078125
18,-1023.2168039895981,-1022.1451416015625
19,-995.7593782442096,-1001.2361450195312
20,-996.4075015584638,-1001.98486328125
21,-1013.476121586919,-1011.8536987304688
22,-978.4641161101194,-975.337646484375
23,-1015.3074374564349,-1018.219970703125
24,-1002.4987785764868,-1001.4427490234375
25,-981.8387135238281,-978.4699096679688
26,-1002.715141188295,-1003.78125
27,-998.4073475026839,-999.2649536132812
